system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
02M400,High School for Environmental Studies,DOE,High school,"09,10,11,12,SE",Jun 5 1996,444 WEST 56 STREET,MANHATTAN,NY,10019,Shirley H. Matthews,2,A,A,A,B,A,A,A,A,,,,,,,,
02M407,Institute for Collaborative Education,DOE,Secondary School,"06,07,08,09,10,11,12",Jun 5 1996,345 EAST 15TH STREET,MANHATTAN,NY,10003,Peter Karp,2,A,A,A,B,.,C,A,B,,,,,,,,
02M408,Professional Performing Arts High School,DOE,Secondary School,"06,07,08,09,10,11,12,SE",Jun 5 1996,328 WEST 48 STREET,MANHATTAN,NY,10036,KEITH RYAN,2,B,B,B,B,B,A,B,A,,,,,,,,
02M411,Baruch College Campus High School,DOE,High school,"09,10,11,12,SE",Jul 1 1999,55 EAST 25 STREET,MANHATTAN,NY,10010,Alicia Perez-Katz,2,A,A,A,D,A,A,A,A,,,,,,,,
02M412,N.Y.C. Lab School for Collaborative Studies,DOE,High school,"09,10,11,12,SE",Jul 1 1999,333 WEST 17 STREET,MANHATTAN,NY,10011,BROOKE JACKSON,2,A,A,A,A,A,A,A,A,,,,,,,,
02M413,School of the Future High School,DOE,Secondary School,"06,07,08,09,10,11,12,SE",Jul 1 1999,127 EAST 22 STREET,MANHATTAN,NY,10010,STACY PAIGE GOLDSTEIN,2,A,A,A,A,A,A,A,A,,,,,,,,
02M414,N.Y.C. Museum School,DOE,High school,"09,10,11,12",Jul 1 1999,333 WEST 17 STREET,MANHATTAN,NY,10011,DARLENE MILLER,2,B,B,F,C,B,C,D,C,,,,,,,,
02M416,Eleanor Roosevelt High School,DOE,High school,"09,10,11,12,SE",Jul 1 2002,411 EAST 76 STREET,MANHATTAN,NY,10021,DIMITRI SALIANI,2,B,B,B,B,A,B,B,C,,,,,,,,
02M418,Millennium High School,DOE,High school,"09,10,11,12,SE",Jul 1 2002,75 BROAD STREET,MANHATTAN,NY,10004,COLIN MCEVOY,2,B,C,B,C,.,B,B,.,,,,,,,,
02M419,Landmark High School,DOE,High school,"09,10,11,12,SE",Jun 5 1996,351 WEST 18 STREET,MANHATTAN,NY,10011,CARON PINKUS,2,.,.,.,.,.,,,,,,,,,,,
